UF,Municipio,Total_Anos,Anos_Identicos,Percent_Identicos,Diff_Media,Diff_Max,Diff_Min,CMI_Media,CMI_Mil_Media
MT,BOA ESPERANCA DO NORTE,29,29,100.0,0.0,0.0,0.0,0.0,0.0
PE,PETROLINA,29,11,37.9,0.019,0.04,0.0,19.86,19.87
SP,FRANCO DA ROCHA,29,10,34.5,0.019,0.05,0.0,15.26,15.26
SP,MOGI DAS CRUZES,29,11,37.9,0.019,0.05,0.0,15.51,15.51
AL,PALMEIRA DOS INDIOS,29,9,31.0,0.02,0.04,0.0,16.41,16.41
MG,MANHUACU,29,11,37.9,0.02,0.04,0.0,20.85,20.84
SP,ITATIBA,29,10,34.5,0.02,0.04,0.0,12.88,12.88
CE,CAUCAIA,29,8,27.6,0.02,0.05,0.0,15.16,15.16
CE,TIANGUA,29,10,34.5,0.02,0.05,0.0,22.18,22.18
MG,JUIZ DE FORA,29,9,31.0,0.02,0.05,0.0,17.51,17.5
PA,PARAGOMINAS,29,6,20.7,0.02,0.05,0.0,24.86,24.86
PE,SAO LOURENCO DA MATA,29,9,31.0,0.02,0.05,0.0,16.79,16.79
PR,CURITIBA,29,10,34.5,0.02,0.05,0.0,10.48,10.48
SP,PINDAMONHANGABA,29,12,41.4,0.02,0.05,0.0,13.22,13.22
SP,PRAIA GRANDE,29,8,27.6,0.02,0.05,0.0,17.56,17.56
PA,BREVES,29,8,27.6,0.021,0.04,0.0,22.11,22.11
SP,DIADEMA,29,11,37.9,0.021,0.04,0.0,14.26,14.26
SP,TABOAO DA SERRA,29,9,31.0,0.021,0.04,0.0,13.4,13.4
MG,PASSOS,29,8,27.6,0.021,0.05,0.0,13.77,13.78
MG,PATOS DE MINAS,29,11,37.9,0.021,0.05,0.0,13.64,13.64
MG,UNAI,29,8,27.6,0.021,0.05,0.0,11.84,11.84
MT,SINOP,29,9,31.0,0.021,0.05,0.0,13.45,13.46
PA,BRAGANCA,29,9,31.0,0.021,0.05,0.0,18.88,18.88
